"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;12;10;19;21;27;22;22;29;31;193;;
"2017";9;4;15;23;27;45;38;33;30;17;20;31;292;99;51,3
"2018";27;29;25;25;34;30;54;24;31;27;35;33;374;82;28,08
"2019";36;14;10;48;39;24;27;51;38;25;33;44;389;15;4,01
"2020";32;32;25;25;20;22;15;15;5;16;13;18;238;-151;-38,82
"2021";31;43;43;27;37;38;28;18;25;23;19;14;346;108;45,38
"2022";16;10;10;8;8;14;13;4;9;8;15;12;127;-219;-63,29
"2023";4;8;6;9;6;9;27;31;22;13;18;9;162;35;27,56
"2024";9;9;7;9;11;15;7;12;23;16;4;15;137;-25;-15,43
"2025";22;9;4;11;6;2;1;4;9;5;2;0;75;-62;-45,26
"2026";1;3;0;;;;;;;;;;4;-71;-94,67
