"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;23;25;20;15;9;16;20;25;25;178;;
"2017";18;11;48;44;65;56;65;49;33;55;48;32;524;346;194,38
"2018";26;24;33;29;30;24;29;14;16;25;17;21;288;-236;-45,04
"2019";38;46;78;50;41;41;16;18;26;24;21;9;408;120;41,67
"2020";9;27;15;10;7;9;10;6;8;14;32;12;159;-249;-61,03
"2021";35;48;39;26;31;39;26;18;10;7;10;15;304;145;91,19
"2022";15;18;22;9;7;14;8;12;0;5;4;5;119;-185;-60,86
"2023";5;14;27;12;15;12;6;8;13;2;8;7;129;10;8,4
"2024";10;9;9;5;11;5;2;10;5;10;3;5;84;-45;-34,88
"2025";7;7;3;4;7;3;0;9;9;3;3;2;57;-27;-32,14
"2026";1;2;6;;;;;;;;;;9;-48;-84,21
