"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;14;21;14;29;35;49;79;92;54;387;;
"2017";39;46;79;82;35;35;93;104;108;81;91;107;900;513;132,56
"2018";53;39;81;70;99;78;89;101;127;130;107;75;1049;149;16,56
"2019";112;72;59;53;47;28;27;29;18;22;20;29;516;-533;-50,81
"2020";15;32;41;10;10;18;30;25;18;16;24;38;277;-239;-46,32
"2021";37;22;26;23;25;21;19;19;23;18;14;19;266;-11;-3,97
"2022";21;31;24;24;33;58;25;30;26;41;23;52;388;122;45,86
"2023";14;29;26;23;26;16;45;39;14;19;13;16;280;-108;-27,84
"2024";25;27;21;19;26;15;34;53;80;26;12;8;346;66;23,57
"2025";21;17;22;8;5;6;9;8;4;2;1;7;110;-236;-68,21
"2026";7;2;4;;;;;;;;;;13;-97;-88,18
