"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;3;0;2;1;8;5;4;2;26;;
"2017";2;6;10;5;5;8;21;6;11;4;3;6;87;61;234,62
"2018";1;7;9;6;10;5;6;8;6;8;6;0;72;-15;-17,24
"2019";1;8;6;6;4;4;5;6;4;9;3;6;62;-10;-13,89
"2020";4;13;12;0;1;6;6;6;1;2;4;3;58;-4;-6,45
"2021";7;4;10;6;2;3;9;12;4;7;5;2;71;13;22,41
"2022";5;2;5;2;1;10;4;6;8;2;8;2;55;-16;-22,54
"2023";1;4;5;1;5;4;3;4;3;4;7;2;43;-12;-21,82
"2024";2;0;3;3;7;3;5;11;5;8;8;6;61;18;41,86
"2025";7;14;6;6;1;12;3;2;2;4;3;2;62;1;1,64
"2026";4;1;3;;;;;;;;;;8;-54;-87,1
