"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;3;1;1;0;4;5;2;4;6;26;;
"2017";4;3;3;2;2;2;4;8;4;1;1;1;35;9;34,62
"2018";3;5;2;1;1;2;2;3;0;1;1;0;21;-14;-40
"2019";3;9;1;2;4;1;2;0;3;5;2;3;35;14;66,67
"2020";2;2;0;1;0;0;1;1;1;2;2;2;14;-21;-60
"2021";0;0;2;3;5;2;1;1;1;0;2;2;19;5;35,71
"2022";2;3;3;2;2;3;0;0;0;0;1;1;17;-2;-10,53
"2023";0;1;0;1;0;1;0;0;2;2;0;1;8;-9;-52,94
"2024";1;0;1;3;0;0;2;0;0;0;1;0;8;0;0
"2025";0;0;0;0;1;0;0;0;0;0;2;1;4;-4;-50
"2026";2;0;0;;;;;;;;;;2;-2;-50
