"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;6;16;9;12;6;7;11;13;18;98;;
"2017";5;12;7;10;23;12;16;15;8;12;7;6;133;35;35,71
"2018";9;10;7;7;12;11;1;5;8;8;9;14;101;-32;-24,06
"2019";10;3;10;9;23;6;3;6;3;14;15;8;110;9;8,91
"2020";8;2;2;2;0;3;5;5;8;3;5;2;45;-65;-59,09
"2021";1;4;2;3;7;11;6;2;7;3;2;4;52;7;15,56
"2022";1;5;4;8;6;6;6;3;6;7;6;8;66;14;26,92
"2023";4;12;8;4;4;7;4;6;4;4;3;4;64;-2;-3,03
"2024";5;2;2;2;2;4;4;3;7;4;4;3;42;-22;-34,38
"2025";8;7;4;3;4;11;3;3;3;1;0;3;50;8;19,05
"2026";5;0;1;;;;;;;;;;6;-44;-88
