"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;2;1;5;4;1;0;3;1;18;;
"2017";1;1;2;5;8;2;1;8;12;3;6;1;50;32;177,78
"2018";4;4;2;6;4;3;5;5;8;10;2;6;59;9;18
"2019";3;1;11;14;13;15;10;7;6;11;5;2;98;39;66,1
"2020";11;4;7;1;2;4;1;7;9;2;1;1;50;-48;-48,98
"2021";26;16;10;1;0;0;2;2;2;3;3;8;73;23;46
"2022";7;2;3;1;5;4;1;7;14;12;4;9;69;-4;-5,48
"2023";8;2;3;2;6;1;1;2;7;13;0;12;57;-12;-17,39
"2024";10;14;1;1;4;1;0;1;0;1;0;0;33;-24;-42,11
"2025";2;0;3;4;1;0;1;0;1;0;0;0;12;-21;-63,64
"2026";0;0;0;;;;;;;;;;0;-12;-100
