"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;20;22;39;36;38;30;44;48;44;321;;
"2017";15;7;43;52;69;51;43;64;56;29;45;35;509;188;58,57
"2018";41;33;56;37;47;40;36;40;19;46;54;37;486;-23;-4,52
"2019";32;43;56;52;66;57;33;38;63;44;61;39;584;98;20,16
"2020";56;100;102;49;30;41;49;27;47;47;39;30;617;33;5,65
"2021";69;67;45;43;47;65;59;42;25;21;45;25;553;-64;-10,37
"2022";26;32;70;52;20;24;12;16;12;11;9;24;308;-245;-44,3
"2023";28;16;29;21;30;30;7;18;17;12;11;21;240;-68;-22,08
"2024";25;15;23;22;38;32;35;94;56;67;52;35;494;254;105,83
"2025";22;21;10;18;14;10;17;22;27;32;29;32;254;-240;-48,58
"2026";39;21;23;;;;;;;;;;83;-171;-67,32
