"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;5;3;0;3;2;7;4;7;32;;
"2017";1;8;11;5;12;7;3;8;8;5;1;2;71;39;121,88
"2018";5;3;1;2;3;1;4;1;5;0;2;5;32;-39;-54,93
"2019";3;4;10;2;2;0;2;3;0;1;1;3;31;-1;-3,12
"2020";2;9;2;0;0;0;1;1;5;2;0;2;24;-7;-22,58
"2021";5;3;2;3;1;1;6;3;0;2;2;4;32;8;33,33
"2022";3;1;6;1;0;2;0;2;1;0;0;0;16;-16;-50
"2023";3;1;3;2;5;2;1;3;3;3;2;2;30;14;87,5
"2024";1;0;1;1;3;0;0;1;0;1;0;1;9;-21;-70
"2025";0;1;0;0;0;3;0;1;2;1;1;1;10;1;11,11
"2026";1;3;3;;;;;;;;;;7;-3;-30
