"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;2;6;3;3;4;6;4;6;4;38;;
"2017";1;2;15;8;4;7;9;3;7;4;3;4;67;29;76,32
"2018";10;2;12;7;13;8;2;3;3;9;6;7;82;15;22,39
"2019";3;3;9;4;6;9;11;8;9;8;9;6;85;3;3,66
"2020";5;4;4;4;0;2;2;2;1;2;7;3;36;-49;-57,65
"2021";3;3;2;7;2;3;1;1;4;6;4;3;39;3;8,33
"2022";5;4;5;7;6;3;4;4;6;4;7;3;58;19;48,72
"2023";2;6;2;0;4;1;2;1;2;4;2;6;32;-26;-44,83
"2024";1;0;5;0;1;2;5;6;3;4;2;9;38;6;18,75
"2025";7;6;8;8;2;2;4;3;2;1;2;0;45;7;18,42
"2026";5;3;2;;;;;;;;;;10;-35;-77,78
