"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;4;5;4;7;9;2;4;6;5;46;;
"2017";2;4;13;14;8;2;3;14;8;5;0;3;76;30;65,22
"2018";6;2;5;1;4;9;5;9;2;7;4;6;60;-16;-21,05
"2019";7;15;4;4;2;3;3;4;3;5;3;5;58;-2;-3,33
"2020";1;4;2;0;0;0;0;0;1;3;2;1;14;-44;-75,86
"2021";1;3;1;1;1;2;1;2;1;0;1;0;14;0;0
"2022";5;7;2;1;2;3;2;1;1;1;3;5;33;19;135,71
"2023";4;4;5;2;1;1;2;3;3;2;0;4;31;-2;-6,06
"2024";1;1;0;0;2;2;0;0;3;0;1;3;13;-18;-58,06
"2025";3;1;0;1;1;2;0;3;0;3;1;2;17;4;30,77
"2026";0;1;0;;;;;;;;;;1;-16;-94,12
