"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;17;28;46;43;20;16;30;14;13;227;;
"2017";13;3;22;27;29;17;28;34;45;20;25;15;278;51;22,47
"2018";26;16;24;24;19;33;40;50;15;47;26;23;343;65;23,38
"2019";14;29;30;33;23;24;17;18;23;20;26;16;273;-70;-20,41
"2020";18;28;14;1;4;9;13;11;15;10;14;5;142;-131;-47,99
"2021";10;11;8;18;16;12;18;16;11;7;9;3;139;-3;-2,11
"2022";9;3;5;4;4;6;10;6;14;10;10;9;90;-49;-35,25
"2023";3;3;3;4;4;5;7;4;2;4;2;2;43;-47;-52,22
"2024";2;0;1;1;19;6;5;8;10;13;6;6;77;34;79,07
"2025";6;2;1;1;5;2;1;1;6;1;3;4;33;-44;-57,14
"2026";2;0;4;;;;;;;;;;6;-27;-81,82
