"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;9;12;14;12;17;33;52;43;31;223;;
"2017";24;23;27;31;15;19;30;26;32;17;23;16;283;60;26,91
"2018";14;15;30;28;29;23;15;27;27;43;37;37;325;42;14,84
"2019";53;70;31;33;45;30;32;24;20;22;31;16;407;82;25,23
"2020";21;22;16;7;2;9;9;8;10;18;29;13;164;-243;-59,71
"2021";47;15;18;17;10;23;23;15;7;9;11;6;201;37;22,56
"2022";12;10;22;12;30;24;9;16;1;6;7;8;157;-44;-21,89
"2023";3;4;9;3;18;10;14;8;8;12;6;21;116;-41;-26,11
"2024";17;11;7;8;15;16;7;16;39;13;10;12;171;55;47,41
"2025";17;12;16;9;14;4;5;14;3;6;4;3;107;-64;-37,43
"2026";5;8;4;;;;;;;;;;17;-90;-84,11
