"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;5;5;2;7;3;7;2;4;5;40;;
"2017";2;4;2;5;3;5;6;8;3;5;10;0;53;13;32,5
"2018";6;2;9;13;7;4;4;8;14;11;10;4;92;39;73,58
"2019";5;8;7;7;7;6;8;5;3;9;13;2;80;-12;-13,04
"2020";9;4;6;3;3;5;7;7;2;6;15;6;73;-7;-8,75
"2021";4;8;3;2;2;5;2;3;7;2;1;2;41;-32;-43,84
"2022";7;2;4;5;1;4;2;3;1;3;7;2;41;0;0
"2023";2;3;10;1;6;4;5;3;1;2;2;2;41;0;0
"2024";2;4;0;2;7;2;7;8;11;12;4;12;71;30;73,17
"2025";15;18;6;5;3;5;4;6;2;2;2;2;70;-1;-1,41
"2026";4;1;3;;;;;;;;;;8;-62;-88,57
