"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;37;28;21;20;27;28;19;27;21;228;;
"2017";17;12;67;38;47;26;35;35;29;33;39;27;405;177;77,63
"2018";40;25;44;38;35;14;37;28;30;25;47;25;388;-17;-4,2
"2019";25;35;64;35;20;22;39;41;27;23;37;32;400;12;3,09
"2020";42;35;27;9;10;14;29;23;8;21;36;57;311;-89;-22,25
"2021";62;42;43;52;72;50;45;20;32;15;20;12;465;154;49,52
"2022";4;9;14;14;14;26;19;10;11;5;5;23;154;-311;-66,88
"2023";8;7;1;3;11;7;4;7;6;4;5;4;67;-87;-56,49
"2024";7;5;9;8;14;6;7;9;9;6;9;3;92;25;37,31
"2025";16;13;12;8;9;11;14;10;17;11;5;5;131;39;42,39
"2026";5;2;1;;;;;;;;;;8;-123;-93,89
