"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;11;17;11;14;25;19;12;6;123;;
"2017";13;11;36;19;23;21;19;29;31;15;13;12;242;119;96,75
"2018";7;17;23;31;38;45;29;16;16;23;14;15;274;32;13,22
"2019";14;22;20;24;30;19;36;34;22;17;8;29;275;1;0,36
"2020";68;49;31;9;5;5;2;6;3;7;7;13;205;-70;-25,45
"2021";8;20;17;15;16;17;23;16;7;15;18;8;180;-25;-12,2
"2022";10;10;8;19;15;36;15;10;19;9;7;4;162;-18;-10
"2023";5;5;16;8;10;10;28;17;11;8;10;20;148;-14;-8,64
"2024";4;6;2;7;4;8;41;58;18;23;14;13;198;50;33,78
"2025";12;16;12;13;9;20;9;16;8;3;7;4;129;-69;-34,85
"2026";4;10;18;;;;;;;;;;32;-97;-75,19
